,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
0,0,392,6,10009,5,0,1633,6440,1900,2,6625000
1,3,402,21,10009,10,0,2272,6794,1913,2,3936272
2,4,404,55,10009,6,0,2369,4615,1900,2,8000000
3,6,406,32,10009,8,0,1750,4226,1920,2,3192840
4,9,387,153,10009,24,0,4489,18523,1920,2,16232000
5,11,400,21,10009,10,0,3717,12350,2009,2,10350000
13,22,376,14,10009,24,0,4131,16776,1928,2,11900000
60,73,385,1102,10009,47,0,0,36472,2005,2,28000000
62,75,397,1301,10002,132,0,33650,0,1989,2,52625000
123,172,391,19,10009,3,1,1520,3360,1910,2,3300000
124,173,393,4,10009,4,1,2201,5608,1900,2,7215000
125,174,394,5,10009,5,1,1779,3713,1910,2,4750000
143,195,390,34,10009,0,1,1218,3586,1899,4,3700000
146,206,771,52,10011,1,0,1975,3855,1901,1,7425000
147,212,769,49,10011,2,1,2150,4978,1920,1,7750000
148,214,719,67,10011,3,0,2469,3725,1901,1,8300000
150,216,696,37,10001,6,1,1463,3762,1901,2,16000000
151,218,722,6,10011,4,0,2057,2890,1910,2,5950000
152,219,743,56,10011,24,0,2307,4500,1900,2,7375000
153,220,745,63,10011,4,0,2057,3042,1900,2,8000000
154,221,764,68,10011,22,2,2581,13056,1901,2,14100000
155,222,765,25,10011,9,0,1566,6330,1901,2,1583840
156,223,765,25,10011,9,0,1566,6330,1901,2,416790
157,224,765,25,10011,9,0,1566,6330,1901,2,630370
158,227,770,53,10011,9,0,2029,8540,1920,2,29400000
159,230,790,8,10011,8,1,2581,7650,1920,2,6450000
160,231,790,9,10011,15,1,2077,6335,1901,2,5500000
161,232,790,10,10011,8,1,1952,5955,1920,2,5750000
162,233,790,63,10011,8,0,2000,4100,1910,2,3485000
163,234,695,6,10011,6,1,2469,19892,2014,2,4600000
164,239,794,11,10011,30,2,10053,78882,2014,2,2341975
199,277,744,32,10011,24,0,4600,12200,1850,2,282000
682,831,716,1,10011,4,1,1875,5225,1910,2,10581818
683,834,769,69,10011,4,2,2500,4447,1910,2,8250000
772,928,692,63,10011,0,3,1360,4080,1900,4,17300000
773,929,790,32,10011,1,1,6468,14056,1953,4,42400000
774,931,801,24,10001,0,13,9875,113062,1906,4,150000000
775,932,801,58,10001,0,5,2469,10250,1930,4,10150000
776,937,696,28,10011,0,1,3950,7900,2013,4,10750000
777,938,716,2,10011,0,1,1675,3909,1910,4,8818181
778,940,717,5,10011,0,1,3800,3800,1910,4,20000000
779,941,773,1,10011,0,4,19750,39500,1932,4,107250000
780,943,790,36,10011,2,2,1586,4271,1920,4,10600000
781,945,795,19,10011,1,5,1878,11250,1910,4,10500000
782,947,799,63,10011,0,3,1852,3980,1920,4,9174156
783,949,801,19,10001,0,19,4937,45449,1921,4,33000000
784,950,801,71,10001,0,1,9826,122236,2010,4,139725000
785,951,753,33,10001,0,1,2271,5260,1900,4,4300000
786,952,772,64,10011,0,10,17281,170750,1900,4,92007576
789,960,799,25,10011,0,1,12343,21183,1920,4,50350000
790,962,764,11,10011,35,0,2496,5802,1920,4,7995000
799,1008,164,28,10013,11,3,2380,7946,1915,2,8275000
800,1011,277,2,10002,28,2,5029,21274,1918,2,4250000
834,1075,195,9,10013,0,2,3597,21582,1920,4,19000000
835,1076,203,20,10013,0,14,2830,14250,1915,4,9375000
836,1078,162,47,10013,1,3,892,1784,1920,4,3000000
837,1079,162,57,10013,2,2,1360,3274,1920,4,4350000
838,1080,163,16,10013,0,2,1098,2712,1915,4,2700000
839,1081,237,21,10013,0,1,2450,8550,1910,4,6780000
840,1083,281,44,10002,0,8,3465,20968,1900,4,15500000
859,1122,175,19,10013,7,1,2633,12000,1915,2,141500000
860,1123,124,10,10007,6,1,4400,21840,1915,2,15000000
861,1124,173,17,10013,18,1,3828,24423,1920,2,21250000
1121,1400,135,21,10007,5,1,1877,8885,1915,2,10725000
1136,1421,173,2,10013,0,5,4764,20700,1920,4,17850000
1137,1422,173,2,10013,0,5,4764,20700,1920,4,3150000
1138,1423,133,13,10007,0,2,2188,0,1900,4,25000000
1139,1428,178,6,10013,0,6,2536,11000,1915,4,11500000
1144,1453,1058,9,10036,10,0,2510,8175,1901,2,3100000
1145,1454,1058,10,10036,12,0,2510,8175,1901,2,12400000
1146,1456,1060,158,10019,5,0,2092,4120,1920,2,7000000
1147,1458,1064,4,10019,16,2,3333,12330,1910,2,11500000
1148,1459,1067,55,10019,12,0,2502,9625,1910,2,11435000
1149,1463,1055,27,10036,7,0,2410,10119,2016,2,15093194
1428,1779,1094,11,10036,0,1,5021,2875,1940,4,21500000
1429,1780,1095,24,10036,0,2,7531,15062,1940,4,18500000
1431,1784,1053,59,10036,0,2,5021,8848,1910,4,8010000
1432,1785,1061,45,10019,0,2,2510,336,1998,4,4700000
1434,1791,436,1,10009,2,1,1200,3360,1900,1,3000000
1435,1793,458,47,10003,2,1,1280,5920,1899,1,6800000
1436,1794,467,53,10003,2,0,1275,2640,1899,1,4000000
1437,1795,434,21,10009,28,2,4545,20225,1900,2,13835000
1438,1796,434,43,10009,20,0,4163,9187,1920,2,5292000
1439,1803,442,11,10003,21,0,2144,7495,1920,2,5381394
1440,1804,447,42,10003,24,0,2425,7000,1900,2,6354000
1441,1805,447,43,10003,24,0,2425,7000,1900,2,6354000
1442,1807,449,18,10003,19,1,2437,10905,1900,2,12326000
1443,1809,452,47,10003,24,2,2369,10470,1900,2,10025000
1444,1814,463,27,10003,11,1,1840,7692,1900,2,8300000
1445,1815,436,44,10009,48,0,8904,25610,1920,2,30449204
1501,1874,466,1103,10003,55,0,0,51644,1986,2,57000000
1533,1917,435,1,10009,4,2,1240,5080,1900,2,5825000
1560,1955,449,3,10003,2,2,3334,14131,1920,4,9100000
1561,1956,457,32,10003,2,1,2277,5794,1900,4,4550000
1565,1970,778,28,10001,22,2,2460,11538,1920,2,11000000
1623,2042,830,78,10001,4,3,1781,4988,1915,2,12750000
1624,2046,784,64,10001,0,35,9875,145372,1924,4,108000000
1625,2050,833,11,10001,0,55,30750,645977,1969,4,565000000
1626,2051,838,12,10018,0,17,5925,64300,1911,4,54000000
1627,2058,762,61,10018,0,12,4937,55473,1926,4,1161500
1628,2059,785,75,10018,0,12,7266,81375,1907,4,5000000
1629,2062,805,39,10001,0,15,6994,79465,1913,4,220000
1630,2064,760,18,10018,0,1,7406,81000,2007,4,105592700
1631,2066,763,28,10018,0,1,7406,177000,2010,4,128177800
1632,2067,806,76,10001,529,9,19011,473391,1929,4,212500000
1633,2068,837,6,10001,0,1,7406,122859,2008,4,139657500
1634,2069,833,49,10001,0,9,4938,80185,1913,4,51000000
1635,2071,778,27,10001,0,2,2279,4554,1930,4,16540319
1644,2090,27,9,10005,476,6,17623,400531,1929,2,239114603
1645,2091,27,17,10005,317,6,12127,303175,1921,2,182391612
2051,2553,7,1002,10004,42,0,0,32843,0,2,26750000
2055,2557,29,1,10004,0,1,42762,993569,1983,4,652000000
2056,2558,38,17,10005,0,23,27600,566858,1973,4,3288000
2057,2559,40,3,10005,0,1,53632,1617206,1987,4,1040000000
2058,2560,42,31,10038,0,52,20684,527605,1912,4,54052917
2059,2562,76,7,10038,0,5,4782,21520,1948,4,12500000
2060,2564,10,33,10004,0,1,6834,143730,2007,4,100107200
2061,2565,52,8,10006,0,318,6109,130054,2014,4,203345000
2062,2566,40,16,10005,0,2,6497,119467,1902,4,93550000
2063,2567,78,20,10038,0,3,5646,74863,1900,4,51100000
2070,2587,844,8,10003,15,1,4600,30680,1900,2,489854
2071,2588,844,8,10003,15,1,4600,30680,1900,2,576299
2433,2998,822,69,10010,4,1,1392,5118,1910,2,6625000
2452,3022,829,16,10001,0,15,9876,106800,1910,4,126000000
2453,3026,851,54,10010,0,9,2450,22512,1912,4,26500000
2454,3028,856,9,10010,0,35,11553,217991,1913,4,1159531
2455,3030,827,40,10010,0,1,2711,9798,1913,4,29500000
2456,3031,829,55,10001,0,3,2127,4432,1950,4,13500000
2457,3035,829,72,10001,0,4,987,3780,1915,4,4650000
2460,3059,873,31,10003,2,1,2300,6720,1920,1,5300000
2461,3060,882,14,10010,2,0,1407,3080,1910,1,3700000
2462,3061,899,38,10003,2,0,1750,3880,1901,1,7350000
2463,3062,900,55,10003,2,0,1619,2520,1910,1,7000000
2464,3064,898,24,10003,3,0,2912,6496,1925,1,13500000
2467,3068,876,13,10003,6,0,2888,7800,1900,2,23094093
2468,3071,898,7,10003,4,1,2116,6932,1920,2,8700000
2469,3072,907,46,10016,20,0,2469,9625,1920,2,13100000
2470,3074,908,35,10016,28,3,3703,17569,1920,2,19000000
2471,3075,882,39,10010,14,1,1975,15800,1905,2,11800000
2824,3477,873,36,10003,3,1,2300,6808,1920,2,7700000
2846,3505,879,25,10010,0,2,2568,7012,1910,4,15000000
2847,3507,880,4,10010,0,6,3216,37025,1914,4,52400621
2848,3533,525,34,10012,1,1,1350,5807,1900,1,9999999
2849,3534,526,51,10012,1,0,2002,3556,1899,1,12500000
2850,3535,526,66,10012,1,0,2252,3960,1899,1,14000000
2851,3537,552,50,10011,1,0,2138,7000,1900,1,20650000
2852,3538,568,10,10003,1,0,1976,6202,1900,1,21000000
2853,3539,574,27,10011,1,1,2085,4488,1899,1,11800000
2854,3540,575,124,10011,1,0,1996,3200,1901,1,9500000
2855,3542,542,46,10012,2,1,1580,3902,1901,1,5250000
2856,3543,573,18,10011,2,1,1983,3864,1899,1,10500000
2857,3546,567,18,10003,3,0,2306,4321,1901,1,10182500
2858,3548,521,13,10012,42,0,3731,15925,1880,2,22112000
2859,3552,556,15,10003,107,0,10344,61612,1900,2,72200000
2860,3554,572,15,10011,5,0,1565,4060,1900,2,10250000
2861,3558,575,75,10011,19,0,2452,8628,1900,2,8500000
2862,3559,572,49,10011,31,5,6950,30858,1920,2,25001000
2863,3560,574,15,10011,36,0,4171,27184,1912,2,37750000
3213,4049,526,61,10012,4,1,2140,5040,1900,2,9167000
3303,4149,563,31,10003,0,15,8175,114000,1900,4,109000000
3304,4151,577,19,10011,0,6,25297,151541,1930,4,153000000
3305,4152,555,12,10003,5,2,2270,13230,1910,4,3781000
3306,4153,556,21,10003,0,2,1852,5003,1901,4,9300000
3308,4161,556,65,10003,0,1,7742,54328,1900,4,32250000
3315,4171,584,31,10014,1,0,1640,2400,1901,1,7800000
3316,4172,585,69,10014,1,0,384,1152,1901,1,1375000
3317,4173,585,69,10014,1,0,384,1152,1901,1,1375000
3318,4174,606,28,10011,1,1,925,2337,1910,1,4065000
3319,4176,615,21,10014,1,0,1764,4073,1910,1,19000000
3320,4178,622,32,10014,1,1,1425,3040,1899,1,11139450
3321,4179,625,39,10014,1,1,757,1854,1900,1,5550000
3322,4180,527,92,10014,2,1,1750,3480,1900,1,6800000
3323,4181,604,7,10014,2,1,1368,4200,1920,1,9750000
3324,4182,607,44,10011,2,1,1200,2680,1910,1,5570000
3325,4183,611,74,10014,2,0,1606,4538,1920,1,9600000
3326,4184,618,52,10011,2,0,2581,6925,1899,1,14000000
3327,4185,619,19,10014,2,0,943,2684,1899,1,3950000
3328,4186,621,74,10014,2,0,1905,3600,1905,1,15000000
3329,4187,622,19,10014,2,1,950,2334,1901,1,8900000
3330,4188,623,36,10014,2,0,840,2160,1899,1,7000000
3331,4189,635,24,10014,2,0,1672,3700,1899,1,7400000
3332,4192,612,14,10014,3,0,1900,3760,1899,1,11300000
3333,4194,623,49,10014,3,0,2996,5750,1910,1,27400000
3334,4199,588,32,10014,5,0,2171,3524,1900,2,313000
3335,4200,609,163,10011,4,0,2395,2395,1915,2,6500000
3336,4203,611,72,10014,24,1,3982,16800,1900,2,18000000
3337,4206,612,68,10014,10,0,2090,4884,1910,2,7500000
3338,4208,614,9,10014,11,0,1825,7145,1900,2,6260000
3339,4210,615,64,10014,34,0,3587,13341,1910,2,15700000
3340,4212,619,16,10014,33,4,4825,20073,1905,2,21000000
3341,4213,621,76,10014,7,0,1905,4040,1910,2,9000000
3342,4214,622,59,10014,24,0,4750,19888,1905,2,18000000
3343,4216,623,53,10014,36,0,5518,22686,1910,2,20000000
3344,4217,624,19,10014,11,0,2250,9550,1930,2,12750000
3345,4219,624,60,10014,35,1,5000,25614,1910,2,31000000
3346,4226,592,40,10014,74,2,3427,47808,1929,2,12576515
3347,4229,612,51,10014,21,6,3862,17826,1940,2,24991000
3745,4730,610,21,10014,5,1,1995,5985,1900,2,14000000
3784,4781,603,28,10014,0,11,20019,154328,1911,4,205961801
3785,4783,589,39,10014,0,1,2692,5400,1967,4,10200000
3786,4784,589,40,10014,0,2,4067,4550,1920,4,6800000
3787,4785,611,69,10014,2,1,2090,4224,1880,4,6856750
3788,4787,601,72,10014,0,1,5010,29967,1920,4,29163200
3793,4800,1942,58,10030,1,0,1549,3036,1910,1,2300000
3794,4801,1960,41,10030,1,0,1665,3200,1910,1,1510000
3795,4804,2024,50,10030,1,0,1699,3620,1910,1,3050000
3796,4805,2041,126,10030,1,0,1699,3536,1901,1,1595790
3797,4806,2042,28,10030,1,0,1488,3951,1899,1,2200000
3798,4807,2042,29,10030,1,0,1431,3591,1899,1,2100000
3799,4808,2050,19,10031,1,0,2000,3371,1899,1,3200000
3800,4809,2050,74,10031,1,0,1900,4122,1899,1,3535000
3801,4811,2051,62,10030,1,0,2000,3360,1899,1,1000000
3802,4813,1720,62,10027,2,0,2220,5138,1899,1,1386200
3803,4815,1727,45,10037,2,0,2498,3000,1909,1,3750000
3804,4816,1754,59,10037,2,0,1686,3416,1900,1,2450000
3805,4817,1754,116,10035,2,0,1231,3240,1899,1,1550000
3806,4818,1902,40,10026,2,0,1615,3328,1998,1,2800000
3807,4819,1903,155,10026,2,0,1817,5004,1900,1,3500000
3808,4821,1915,34,10037,2,1,2377,4002,1910,1,3650000
3809,4823,1937,52,10027,2,0,1799,3600,1899,1,1670000
3810,4824,1937,52,10027,2,0,1799,3600,1899,1,1310000
3811,4825,1937,123,10027,2,0,1665,3460,1914,1,2175000
3812,4827,1941,59,10030,2,0,1749,2625,1910,1,850000
3813,4828,1942,16,10030,2,0,1599,3200,1899,1,2000000
3814,4829,1949,7,10027,2,0,1615,3840,1899,1,500000
3815,4832,1950,7,10027,2,0,1598,2340,1899,1,2460000
3816,4834,2024,62,10030,2,0,1699,4000,1910,1,2950000
3817,4835,2041,28,10030,2,0,1472,3400,1901,1,1550000
3818,4836,2042,124,10030,2,0,1499,3000,1899,1,1625000
3819,4837,2050,101,10031,2,0,756,4320,1901,1,3450000
3820,4838,2050,103,10031,2,0,1343,3400,1899,1,2000000
3821,4839,2053,65,10031,2,0,3033,8100,1910,1,4300000
3822,4840,1717,67,10026,3,0,1615,3328,1909,1,1730000
3823,4843,1723,56,10027,3,0,1998,3054,1910,1,2685000
3824,4849,1751,147,10035,3,0,1873,3046,1909,1,2505000
3825,4850,1754,14,10035,3,0,1699,2852,1900,1,1980000
3826,4851,1828,122,10026,3,0,1817,3600,1910,1,3250000
3827,4855,1911,3,10027,3,0,1699,2646,1910,1,2390000
3828,4856,1911,4,10027,3,0,1699,2596,1910,1,60000
3829,4857,1911,19,10027,3,0,2495,3335,2000,1,2200000
3830,4858,1911,20,10027,3,0,1665,3332,1910,1,2675000
3831,4859,1916,10,10027,3,0,1699,3400,1910,1,1925000
3832,4860,1917,19,10027,3,0,1699,3400,1910,1,1700000
3833,4862,1918,159,10030,3,0,1824,3320,2000,1,1920000
3836,4871,1594,29,10026,29,2,6667,23640,1920,2,13650000
3837,4873,1718,119,10026,4,0,1682,2700,1909,2,1320000
3838,4874,1718,119,10026,4,0,1682,2700,1909,2,180000
3839,4878,1725,2,10027,28,2,6300,17900,1909,2,6438317
3840,4879,1725,28,10027,5,0,1799,4603,1909,2,842500
3841,4881,1726,22,10027,4,0,1249,2058,1910,2,1431326
3842,4882,1727,37,10035,4,0,1271,5167,1910,2,2125000
3843,4885,1749,5,10035,4,0,2018,2994,1900,2,1100000
3844,4886,1749,9,10035,16,0,2629,8500,1900,2,4400000
3845,4888,1749,107,10035,6,0,2018,2994,1910,2,2150000
3846,4889,1750,66,10035,7,0,1873,2919,1909,2,1500000
3847,4890,1751,50,10035,4,0,1444,4408,1930,2,2675000
3848,4891,1751,56,10035,4,0,1700,4400,1909,2,2597000
3849,4892,1753,63,10035,4,0,1848,2585,1900,2,3250000
3850,4893,1754,46,10037,4,0,2498,7230,1900,2,2450000
3851,4894,1754,57,10035,4,0,1231,4140,1910,2,2165000
3852,4895,1755,24,10037,24,0,3797,15006,1926,2,4433033
3853,4896,1767,26,10035,10,0,2523,8525,1900,2,3000000
3854,4900,1772,150,10035,8,0,2153,3424,1900,2,1506000
3855,4901,1821,19,10026,9,0,1413,3750,1900,2,2000000
3856,4902,1827,144,10026,8,0,1716,3213,1890,2,1300000
3857,4903,1902,37,10026,4,0,1716,2550,1910,2,2298307
3858,4904,1903,147,10026,4,0,2018,3668,1929,2,2795000
3859,4908,1907,1,10027,23,4,7200,21340,1910,2,5128650
3860,4909,1907,27,10027,7,0,1917,3806,1910,2,1900000
3861,4911,1908,163,10027,11,1,1500,5200,1910,2,925000
3862,4912,1911,13,10027,4,0,1682,4070,1910,2,2820000
3863,4913,1911,14,10027,11,0,1499,2286,1910,2,3003837
3864,4914,1911,148,10027,2,0,1557,2343,1910,2,2525000
3865,4915,1913,25,10027,4,0,2498,4800,1910,2,3760000
3866,4916,1914,56,10027,8,0,1873,2700,1910,2,1575000
3867,4917,1914,144,10027,4,0,1665,2497,1910,2,1600000
3868,4918,1914,146,10027,11,0,1749,2625,1910,2,20000
3869,4919,1915,25,10027,6,0,1998,3025,1939,2,1525000
3870,4920,1915,116,10027,5,0,1665,3334,1910,2,2000000
3871,4927,1937,145,10027,11,0,1499,2250,1910,2,725000
3872,4928,1937,148,10027,7,0,1682,2561,1910,2,530000
3873,4932,1940,12,10030,11,0,1499,2025,1910,2,3350000
3874,4934,1940,114,10030,11,0,1499,2025,1910,2,1339325
3875,4935,1940,124,10030,7,0,1699,2550,1910,2,1365000
3876,4938,1941,159,10030,4,0,1665,4290,1910,2,2100000
3877,4939,1942,10,10030,6,0,1599,2400,1910,2,1300000
3878,4941,1942,15,10030,11,0,1699,2550,1910,2,200000
3879,4942,1942,15,10030,11,0,1699,2550,1910,2,62500
3880,4943,1942,55,10030,7,0,1799,3213,1910,2,2060000
3881,4944,1942,158,10030,4,0,1549,3796,1983,2,3205500
3882,4945,1943,14,10026,4,0,900,2880,1901,2,2100000
3883,4946,1949,59,10027,9,0,1615,2973,1900,2,1193000
3884,4947,1953,25,10027,10,0,1700,2736,1910,2,1655000
3885,4948,1958,59,10027,10,0,2765,11105,1932,2,4325000
3886,4954,2025,20,10030,6,0,1815,4034,1920,2,1625000
3887,4963,2032,9,10039,19,0,2498,9500,1920,2,23000000
3888,4967,2033,33,10039,18,2,3983,14018,1920,2,7400000
3889,4977,2034,47,10039,25,0,3997,15444,1910,2,6700000
3890,4978,2036,1,10039,33,3,7727,30624,1920,2,10800000
3891,4981,2041,30,10030,4,0,1608,4611,1920,2,2495000
3892,4983,2045,37,10039,33,0,4000,14646,1910,2,7300000
3893,4988,2050,49,10031,4,1,1599,3950,1910,2,2081235
3894,4994,2051,55,10039,6,2,1680,2118,1910,2,1800000
3895,4995,2051,75,10030,10,0,1667,2802,1901,2,1244026
3896,4996,2051,79,10030,8,0,1667,2502,1901,2,1600000
3897,4997,1730,9,10037,286,0,68200,267008,1959,2,18000000
3898,4998,1730,25,10037,286,0,71575,267008,1959,2,18000000
3899,4999,1730,36,10037,286,0,65340,267008,1958,2,18000000
3900,5000,1730,45,10037,286,0,76650,267008,1958,2,18000000
3901,5001,1730,64,10037,286,0,66425,267008,1959,2,18000000
3902,5002,1730,75,10037,286,0,84425,267008,1960,2,18000000
3903,5003,1737,15,10037,256,0,66825,185318,1959,2,5020000
3904,5004,1737,25,10037,771,0,189025,555954,1959,2,5020000
3905,5005,1737,25,10037,771,0,189025,555954,1959,2,5020000
3906,5006,1737,25,10037,771,0,189025,555954,1959,2,5020000
3907,5007,1737,59,10037,257,0,64675,185318,1959,2,5020000
3908,5008,1952,11,10027,38,6,9992,45945,1926,2,23000000
3909,5009,1958,1,10027,311,4,65212,336334,1926,2,67500000
3910,5010,2051,31,10030,30,0,5000,20640,1920,2,10000000
3911,5012,2054,92,10031,41,0,9908,42924,1920,2,17000000
4337,5489,1720,31,10027,3,1,1680,4804,1909,2,3550000
4338,5492,1831,62,10026,2,2,2546,5468,1900,2,3880000
4401,5563,1774,20,10035,0,8,5995,35970,1900,4,27000000
4402,5566,1831,61,10026,0,3,2125,10625,1910,4,6800000
4403,5567,1750,1,10035,0,10,16986,58000,1940,4,15453750
4404,5568,1753,15,10035,2,2,1394,3320,1900,4,2080000
4405,5570,1930,49,10027,0,2,5046,6545,1972,4,17800000
4406,5571,1940,60,10030,0,5,9992,9992,1930,4,8000000
4408,5577,2013,44,10039,0,1,13875,322,1972,4,6750000
4409,5578,2013,50,10039,0,1,18884,2344,1961,4,10100000
4415,5589,2032,1,10039,12,2,2500,0,1920,4,2255000
4417,5595,2050,136,10030,0,1,15009,0,1910,4,3006000
4419,5598,1600,30,10026,0,1,6156,11121,1915,4,6814720
4420,5599,1600,30,10026,0,1,6156,11121,1915,4,6414359
4421,5600,1721,132,10027,0,1,3088,10018,1909,4,665000
4422,5601,1724,49,10027,0,1,2498,2115,1920,4,1000000
4423,5602,1753,65,10035,0,1,1856,2620,1890,4,1855000
4425,5604,1915,35,10037,0,1,2288,3763,1910,4,2430000
4426,5605,1929,23,10027,0,1,2523,4529,1910,4,816666
4427,5607,1958,21,10027,0,1,2525,8990,1901,4,1706800
4432,5647,1629,101,10029,1,0,1162,2464,1890,1,2250000
4433,5648,1643,22,10029,2,1,1345,2858,1900,1,1319700
4434,5650,1807,133,10035,2,0,1682,3000,1899,1,424797
4435,5655,1659,31,10029,3,0,2212,2898,1996,1,2500000
4436,5660,1710,11,10029,3,0,2018,3680,1901,1,1533000
4437,5661,1796,48,10035,3,0,1968,3420,1899,1,2100000
4438,5670,1628,6,10029,51,0,10294,37300,1910,2,3826858
4439,5672,1628,20,10029,33,4,4750,20243,1920,2,12125000
4440,5673,1628,22,10029,33,3,4837,24170,1920,2,14275000
4441,5676,1628,50,10029,34,6,4837,24170,1920,2,15000000
4442,5677,1628,52,10029,33,2,4750,20243,1920,2,11500000
4443,5678,1628,103,10029,11,0,1875,7125,1910,2,125500
4444,5679,1629,30,10029,38,0,8074,38164,1910,2,3730232
4445,5682,1630,2,10029,10,0,2523,8975,1910,2,6250000
4446,5683,1630,14,10029,30,2,3784,14986,1930,2,7750000
4447,5684,1630,61,10029,28,2,5147,20945,1910,2,10625000
4448,5685,1630,63,10029,30,0,5147,20785,1910,2,10825000
4449,5686,1630,65,10029,24,0,4491,17615,1910,2,7300000
4450,5687,1630,67,10029,30,0,3986,15588,1910,2,7525000
4451,5688,1630,69,10029,30,0,3936,15660,1910,2,8800000
4452,5689,1630,72,10029,28,2,3969,19224,1910,2,10875000
4453,5690,1631,47,10029,8,0,2523,6704,1910,2,6800000
4454,5693,1632,145,10029,4,0,2018,5110,1900,2,5280000
4455,5694,1633,29,10029,10,0,2523,9600,1930,2,2150000
4456,5695,1633,51,10029,20,0,2023,8115,1930,2,5325000
4457,5696,1634,28,10029,8,0,2851,7328,1910,2,2245945
4458,5697,1635,27,10029,5,0,1716,4140,1910,2,2550000
4459,5698,1635,45,10029,5,0,1716,4075,1910,2,1300000
4460,5699,1636,23,10029,9,1,1083,3532,1900,2,2300000
4461,5700,1636,50,10029,9,1,1422,4809,1920,2,2470000
4462,5701,1638,15,10029,18,2,2523,9865,1910,2,5925000
4463,5702,1638,16,10029,18,2,2523,9865,1910,2,5375000
4464,5704,1638,140,10029,4,0,1766,2412,1890,2,1469500
4465,5705,1638,141,10029,4,0,1766,2412,1890,2,1900000
4466,5711,1645,1,10035,34,3,4538,22434,1910,2,9000000
4467,5715,1660,43,10029,10,0,2523,6092,1910,2,4373570
4468,5716,1661,16,10029,16,0,2523,6592,1900,2,3425000
4469,5717,1661,17,10029,16,0,2523,7142,1900,2,3450000
4470,5718,1661,18,10029,16,0,2523,6712,1900,2,3300000
4471,5719,1661,44,10029,35,2,6055,26341,1910,2,12000000
4472,5720,1665,5,10029,4,0,1817,3483,1890,2,2300000
4473,5721,1665,9,10029,4,0,1817,2697,1910,2,1275000
4474,5722,1665,33,10029,28,3,4037,17156,1910,2,9150000
4475,5723,1665,34,10029,28,3,3936,16523,1910,2,9250000
4476,5724,1665,38,10029,28,2,3936,17123,1910,2,8725000
4477,5725,1666,28,10035,41,0,5046,21024,1950,2,11050000
4478,5727,1667,9,10035,31,0,5046,21750,1910,2,10250000
4479,5728,1667,16,10035,35,0,5046,22332,1910,2,9325000
4480,5729,1667,18,10035,33,2,5046,21620,1910,2,8925000
4481,5730,1667,25,10035,11,1,2769,14550,1910,2,9839200
4482,5731,1667,39,10035,18,0,3742,15246,1900,2,5925000
4483,5736,1677,40,10029,19,0,2523,9975,1920,2,5175000
4484,5737,1677,41,10029,16,2,2523,10684,1900,2,4500000
4485,5738,1677,44,10029,28,1,3785,15330,1920,2,8825000
4486,5744,1681,7,10029,34,2,4440,19223,1910,2,10850000
4487,5747,1682,51,10029,12,1,2500,9825,1910,2,5050000
4488,5752,1687,11,10029,16,0,5046,11384,1910,2,5525000
4489,5753,1687,19,10029,10,0,5046,13125,1900,2,800000
4490,5755,1687,19,10029,10,0,5046,13125,1900,2,1030000
4491,5758,1688,36,10035,10,0,2523,8125,1910,2,3300000
4492,5763,1688,44,10035,18,0,2523,13200,1910,2,15750000
4493,5766,1708,7,10029,20,0,3313,12770,1910,2,5850000
4494,5767,1708,8,10029,25,2,4256,17178,1915,2,6850000
4495,5768,1708,10,10029,8,0,2523,6040,1910,2,2250000
4496,5769,1708,11,10029,10,0,2523,6040,1910,2,2450000
4497,5770,1708,12,10029,8,0,2523,6040,1910,2,1675000
4498,5771,1708,13,10029,9,0,2523,6040,1900,2,2225000
4499,5772,1709,7,10029,30,0,7064,28236,1910,2,3112400
4500,5775,1709,24,10029,16,0,2075,8140,1910,2,4300000
4501,5776,1710,19,10029,30,0,5752,25006,1910,2,3376775
4502,5778,1711,5,10035,7,0,1682,4730,1900,2,1260000
4503,5780,1783,3,10035,8,1,2500,10250,1900,2,7850000
4504,5783,1786,27,10035,34,3,3750,15417,1900,2,8550000
4505,5786,1796,7,10035,4,0,1892,4500,1900,2,1825000
4506,5787,1806,7,10035,41,0,5046,21192,1910,2,9575000
4507,5788,1807,40,10035,4,0,1892,2189,1900,2,1487500
4508,5790,1815,10,10035,8,0,1682,2394,1900,2,1825000
4509,5791,1622,20,10029,76,5,21193,96446,2000,2,22600000
4510,5793,1630,5,10029,45,0,7570,30129,2003,2,14700000
4511,5795,1643,70,10029,29,1,3759,14546,1900,2,7300000
4512,5796,1644,8,10029,48,0,9009,47750,1925,2,14800000
4513,5797,1644,59,10035,72,0,13481,55725,1910,2,25000000
4514,5798,1660,31,10029,24,0,4037,16292,1905,2,7200000
4515,5801,1788,35,10035,20,0,5954,20448,2009,2,11700000
4614,5914,1644,26,10029,3,2,1892,3649,1910,2,6726800
4615,5916,1661,23,10029,6,2,1850,5144,1910,2,2925000
4616,5917,1675,4,10029,6,2,1865,5660,1920,2,2600000
4617,5921,1709,42,10029,2,2,1880,3456,1900,2,1525000
4650,5960,1666,43,10035,3,1,2018,3992,1910,4,1350000
4651,5961,1687,23,10029,0,2,1460,2460,1910,4,1800000
4652,5963,1795,31,10035,0,2,2288,4500,1900,4,2550000
