,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
26401,36788,3790,10,11207,3,0,2000,2496,1910,1,400000
26402,36789,3790,43,11207,3,0,2000,3120,2005,1,685000
26403,36790,3791,29,11207,3,0,2000,3000,1901,1,550000
26404,36791,3791,30,11207,3,0,2000,3000,1899,1,636000
26405,36792,3791,41,11207,3,0,2000,3000,1901,1,560000
26406,36793,3806,51,11207,3,0,2000,2000,1901,1,689000
26407,36795,3807,31,11207,3,0,2000,3000,1901,1,570000
26408,36796,3821,101,11207,3,0,1438,3225,1930,1,775000
26409,36797,3824,44,11207,3,0,2367,1890,1910,1,840000
26410,36799,3827,18,11207,3,0,2500,3700,1920,1,395000
26411,36804,3838,67,11207,3,0,2021,2720,1930,1,370000
26412,36807,3851,24,11207,3,0,2000,3240,2006,1,280000
26413,36809,3965,25,11207,3,0,2500,1792,1901,1,645000
26414,36811,3971,51,11208,3,0,2500,2440,1901,1,521310
26415,36812,3971,51,11208,3,0,2500,2440,1901,1,370000
26416,36813,3973,62,11208,3,0,1500,2805,1910,1,650000
26417,36814,3977,16,11207,3,0,1565,1600,1901,1,725000
26418,36815,3977,23,11207,3,0,2500,2696,1910,1,530000
26419,36818,3988,9,11208,3,0,3750,2300,1960,1,650000
26420,36819,3993,21,11207,3,0,2500,2040,2007,1,850000
26421,36820,3996,4,11207,3,0,2500,3060,2004,1,550000
26422,36821,3996,28,11207,3,0,2500,4200,2007,1,899000
26423,36822,3996,28,11207,3,0,2500,4200,2007,1,550000
26424,36823,4000,9,11207,3,0,2460,3000,1899,1,695000
26425,36824,4000,28,11208,3,0,1550,3108,1901,1,275000
26426,36825,4000,28,11208,3,0,1550,3108,1901,1,601577
26427,36826,4001,7,11208,3,0,2475,3120,1899,1,925000
26428,36831,4006,30,11208,3,0,2000,2760,1910,1,677000
26429,36832,4006,33,11208,3,0,1026,1672,1910,1,498250
26430,36833,4007,36,11208,3,0,2500,3000,2006,1,640000
26431,36834,4008,45,11208,3,0,1800,3000,2003,1,60000
